id,related_scenes,question,answer,related_context,question_type,question_source
18,55、INT. RESIDENTIAL HOTEL - NIGHT (LATER),What effect does Colette's appearance have on Danny?,It makes him feel like he should get involved.,That face. Those eyes. Everything about her says 'Get involved.',Causal-Motivational Reasoning,broad_coverage_scene
19,43、INT. CINDER BLOCK BAR - NIGHT,"In [43、INT. CINDER BLOCK BAR - NIGHT], What is Danny's physical condition?","Exhausted, with a pinched face and bags under his eyes.","He looks exhausted, his face is pinched, there are bags under his eyes.",Character Understanding,broad_coverage_scene
20,55、INT. RESIDENTIAL HOTEL - NIGHT (LATER),Why is Colette sobbing?,She was kicked out by her boyfriend Quincey.,"COLETTE: Quincey, my boyfriend... he kicked me out.",Causal-Motivational Reasoning,broad_coverage_scene
21,26、INT. RESIDENTIAL HOTEL ROOM - NIGHT,"In [26、INT. RESIDENTIAL HOTEL ROOM - NIGHT], Who is pictured in the photo inside the trumpet case?",A woman with a self-conscious smile.,A PHOTO OF A WOMAN taped to the inside of the lid. A self-conscious smile on her face like she's uncomfortable with having her picture taken.,Scene Grounding,broad_coverage_scene
22,28、INT. RESIDENTIAL HOTEL ROOM - NIGHT,What does Danny say at the vanity?,"Okay, we'll stay. We'll stay.","DANNY (at the vanity, whispering) Okay, we'll stay. We'll stay.",Character Understanding,broad_coverage_scene
23,33、EXT. STREET - NIGHT,"In [33、EXT. STREET - NIGHT], What is Danny's emotional state when the red car passes him?",He is trying to remain calm.,Danny plays it cool. Keeps walking.,Character Understanding,broad_coverage_scene
24,9、INT. KITCHEN - NIGHT,"In [9、INT. KITCHEN - NIGHT], What emotional state does Danny express when he says 'Oh-oh'?",Alarmed,DANNY (cont'd) Oh-oh.,Character Understanding,broad_coverage_scene
25,6、EXT. TRUCK STOP PARKING LOT - NIGHT,When did the government crack down according to Danny's narration?,By the late 60's,By the late 60's the government finally cracked down and sent the whole thing underground.,Temporal Reasoning,broad_coverage_scene
26,15、EXT. CHEAP MOTEL ROOM - DAY,What happens to the door when the spears strike?,"Two spears plunge through the cheap door, stopping inches from Danny's head.","WHAP, WHAP! Two spears plunge through the cheap door, stopping inches from Danny's head.",Scene Grounding,broad_coverage_scene
27,30、EXT. CEMETERY - NIGHT,What does Danny claim about the painting's quality?,It's downright classy is what it is,DANNY It's downright classy is what it is.,Character Understanding,broad_coverage_scene
28,7、INT. TRACTOR-TRAILER - NIGHT,How is the trucker gripping the wheel?,Gripping the wheel with a death-grip,The trucker gripping the wheel with the same death-grip as the Kamikaze.,Scene Grounding,broad_coverage_scene
29,4、INT. HOUSE - DAY,What action does the housewife perform repeatedly on the floor?,She attacks the same spot over and over again,"She attacks the same spot over and over again, one hand clutching the vacuum",Scene Grounding,broad_coverage_scene
30,45、INT. CINDER BLOCK BAR - NIGHT,"In [45、INT. CINDER BLOCK BAR - NIGHT], How is Colette feeling during the kiss?",Not enjoying it,She obviously isn't enjoying it.,Character Understanding,broad_coverage_scene
31,33、EXT. STREET - NIGHT,"In [33、EXT. STREET - NIGHT], What action does Danny take to avoid detection by the red car?",He squeezes behind a dumpster.,"Danny squeezed behind a dumpster, watching.",Character Understanding,broad_coverage_scene
32,41、INT. POOH-BEARS HOUSE - DAY,"In [41、INT. POOH-BEARS HOUSE - DAY], What is Pooh-Bear's emotional state when he insists on Danny tasting the eggs?",Friendly and persistent,Pooh-Bear winks and shovels some more down.,Character Understanding,broad_coverage_scene
33,32、INT. CINDER BLOCK BAR - SAME,Why does Danny need cash?,He needs to leave town.,I need to leave town and I find myself in dire need of some cash.,Causal-Motivational Reasoning,broad_coverage_scene
34,22、EXT. PARK - NIGHT,"In [22、EXT. PARK - NIGHT], What emotional state does Danny express when warning Tanner?",Concerned about the kid,"Danny says, 'I'm worried about the kid.'",Character Understanding,broad_coverage_scene
35,46、INT. HALLWAY - DAY (FLASH FORWARD) | 48、INT. HALLWAY - DAY (FLASH FORWARD) | 49、INT. CINDER BLOCK BAR - NIGHT,Why does the courier comply with Kujo's demands?,The courier complies because they are surrounded by armed opponents with no way out.,"KUJO steps forward, voice steady, and states that with no way out and armed opponents on all sides, the courier will now comply with their demands.",Causal-Motivational Reasoning,broad_coverage_event_chain
36,47、INT. CINDER BLOCK BAR - NIGHT | 48、INT. HALLWAY - DAY (FLASH FORWARD) | 49、INT. CINDER BLOCK BAR - NIGHT | 50、INT. HALLWAY - DAY (FLASH FORWARD),Why does the courier comply with Kujo's demands?,The courier complies because they are surrounded with no way out and face armed opponents on all sides.,"KUJO steps forward, voice steady, and states that with no way out and armed opponents on all sides, the courier will now comply with their demands.",Causal-Motivational Reasoning,broad_coverage_event_chain
37,43、INT. CINDER BLOCK BAR - NIGHT | 45、INT. CINDER BLOCK BAR - NIGHT | 47、INT. CINDER BLOCK BAR - NIGHT,What does Danny observe about Colette's reaction when her boyfriend kisses her?,Danny observes that Colette does not seem to enjoy the kiss from her boyfriend.,Danny sees Colette's boyfriend kissing her roughly and notices she doesn't seem to enjoy it.,Character Understanding,broad_coverage_event_chain
38,12、INT. PARTY HOUSE - NIGHT | 13、EXT. PARTY HOUSE - DAY | 42、INT. VEGA - DAY,What does Jimmy state about his nickname?,Jimmy states that people call him Jimmy the Finn because of his Finnish features.,Jimmy explains it’s because of his features—his face is Finnish.,Character Understanding,broad_coverage_event_chain
39,30、EXT. CEMETERY - NIGHT,What does Danny say about the painting on Bubba's truck?,Danny says the painting is downright classy.,"Danny replies, 'It's downright classy is what it is.'",Character Understanding,broad_coverage_scene
40,19、EXT. ALLEY - NIGHT | 30、EXT. CEMETERY - NIGHT,What does Danny say about the painting on Bubba's truck?,Danny says the painting is downright classy.,"Danny replies, 'It's downright classy is what it is.'",Character Understanding,broad_coverage_event_chain
41,46、INT. HALLWAY - DAY (FLASH FORWARD) | 48、INT. HALLWAY - DAY (FLASH FORWARD) | 49、INT. CINDER BLOCK BAR - NIGHT | 50、INT. HALLWAY - DAY (FLASH FORWARD),Why does the courier comply with Kujo's demands?,The courier complies because they are surrounded by armed opponents with no way out.,"KUJO steps forward, voice steady, and states that with no way out and armed opponents on all sides, the courier will now comply with their demands.",Causal-Motivational Reasoning,broad_coverage_event_chain
42,48、INT. HALLWAY - DAY (FLASH FORWARD) | 49、INT. CINDER BLOCK BAR - NIGHT | 50、INT. HALLWAY - DAY (FLASH FORWARD),What does Kujo state about the courier's situation when the teams surround it?,"Kujo states that with no way out and armed opponents on all sides, the courier will now comply with their demands.","KUJO steps forward, voice steady, and states that with no way out and armed opponents on all sides, the courier will now comply with their demands.",Character Understanding,broad_coverage_event_chain
43,22、EXT. PARK - NIGHT,Why does Garcetti shove Danny against the car?,Garcetti shoves Danny against the car because he is angry that Danny did not help the child during the earlier incident and views Danny as cowardly and untrustworthy.,"Garcetti confronts Danny, demanding to know why he didn’t help the child during the earlier incident. In response, Garcetti shoves Danny hard against the car, pressing in face-to-face. He calls Danny a coward, a snitch, and a bottom feeder.",Causal-Motivational Reasoning,broad_coverage_scene
44,30、EXT. CEMETERY - NIGHT | 32、INT. CINDER BLOCK BAR - SAME | 35、EXT. BAD NEIGHBORHOOD - NIGHT,What reason does Danny give for carrying both a gun and a bulletproof vest?,Danny states that he carries both for personal protection because it is a dangerous world.,"Danny says it's for personal protection, adding that it's a dangerous world.",Character Understanding,broad_coverage_event_chain
45,35、EXT. BAD NEIGHBORHOOD - NIGHT | 42、INT. VEGA - DAY | 14、INT. CHEAP MOTEL ROOM - DAY,What does Danny state about the world when asked about carrying a gun and vest?,"Danny states that the world is dangerous, specifically calling it a very dangerous world.","Danny says it's for personal protection, then adds that it's a dangerous world, a very dangerous world.",Character Understanding,broad_coverage_event_chain
46,30、EXT. CEMETERY - NIGHT,Why does Danny get into the pickup truck?,Danny gets into the pickup truck because Bubba invites him to get in so they can talk.,"Bubba grins, then tells Danny to get in so they can talk. Danny climbs into the truck, the window rolls up, and the vehicle drives away.",Causal-Motivational Reasoning,broad_coverage_scene
47,32、INT. CINDER BLOCK BAR - SAME | 41、INT. POOH-BEARS HOUSE - DAY,What does Pooh-Bear state about the scrambled eggs Danny ate?,"Pooh-Bear states that the scrambled eggs Danny ate were made with cow brains that were store-bought, legal, and harmless.","Pooh-Bear chuckles and tells Danny that the scrambled eggs he just ate were made with the cow brains—store-bought, legal, and harmless.",Character Understanding,broad_coverage_event_chain
48,22、EXT. PARK - NIGHT | 29、EXT. DESERTED PARK - NIGHT,Why does Danny react with fear when Garcetti describes the Colombian necktie?,"Danny reacts with fear because Garcetti reveals that Domingo, a man Danny helped imprison, has threatened to use the Colombian necktie on the informant who betrayed him, and Danny realizes he could be the target.","Garcetti says Domingo has threatened to do the Colombian necktie to the informant, and Danny responds by recoiling and saying if Domingo finds out it was him, he’s dead.",Causal-Motivational Reasoning,broad_coverage_event_chain
49,30、EXT. CEMETERY - NIGHT,What does Danny say about the painting on the truck?,Danny says the painting is downright classy.,"Danny replies, 'It's downright classy is what it is,' when commenting on the painting.",Character Understanding,broad_coverage_scene
50,137、INT. POOH-BEAR'S HOUSE - NIGHT,How should the relationship between Danny and Big Bill be characterized?,from attempted to shoot to ongoing adversaries,"Earlier, the relationship between Danny and Big Bill is marked by attempted; later, it shifts to shoot to ongoing adversaries.",Role-Relation Continuity,supplementary_cross_scene
51,24、INT. RESIDENTIAL HOTEL - GARDENA - NIGHT.,What does Danny notice and pick up from the floor?,Danny finds and picks up abandoned can,"After the woman hurriedly closes her door, Danny notices a can left on the floor and bends down to pick it up.",Narrative Progression,supplementary_cross_scene
52,14、INT. CHEAP MOTEL ROOM - DAY|27、EXT. SALTON SEA - SUNSET (FLASHBACK)|29、EXT. DESERTED PARK - NIGHT,"Which character is trusted by Bobby, married to Liz, and in mutual antagonism with Garcetti?",Danny,"Danny is in a trusted by Bobby relationship with Bobby, is in a husband relationship with Liz, and is in a mutual antagonism relationship with Garcetti.",Role-Relation Continuity,supplementary_cross_scene
53,30、EXT. CEMETERY - NIGHT,How does Bubba reveal himself to Danny in the cemetery scene?,Bubba reveals himself through rolled-down window,"In the cemetery scene, as Danny approaches the pickup truck, the passenger window rolls down, revealing Bubba behind the wheel.",Narrative Progression,supplementary_cross_scene
54,32、INT. CINDER BLOCK BAR - SAME|41、INT. POOH-BEARS HOUSE - DAY,"What causes Danny to stand up and attempt to leave, leading to the cow brains prank?",Danny attempts to leave after negotiation insult,"In the scene where Danny negotiates with Pooh-Bear, he stands up from the table as if to leave after an insult, which redirects the story toward the cow brains prank.",Narrative Progression,supplementary_cross_scene
55,41、INT. POOH-BEARS HOUSE - DAY,"What does Danny do when the drug deal negotiation with Pooh-Bear turns sour, almost ending their talk before the cow brains prank?",Danny attempts to leave after negotiation insult,"Danny stands up from the table, pushing his chair back as if to leave, his face tight with tension, after a tense moment in the negotiation.",Narrative Progression,supplementary_cross_scene
56,20、INT. CAR - SAME|63、INT. CAR - NIGHT|81、EXT. DESERTED PARK - NIGHT,Which character has a shifting dynamic with Danny—moving from trusted ally to hostile critic—while remaining a close colleague of Garcetti?,Tanner,"Tanner is in a trusted partners relationship with Danny, is in a adversarial stance relationship with Danny Flynne, and is in a trusted colleagues relationship with Garcetti.",Role-Relation Continuity,supplementary_cross_scene
