id,related_scenes,question,answer,related_context,question_type,question_source
35,34、INT. LOCKER ROOM - DAY | 40、EXT. GAME - ANGLE ON SCOREBOARD - SECOND QUARTER | 47、EXT. FIELD - LATE AFTERNOON,What does McGinty state that Shane must do after recovering on the bench?,"McGinty states that Shane must go back into the game, run the same play, and throw to Franklin, emphasizing that he is the only one who can do this and must either embrace his destiny or give it up.","McGinty stares into his eyes, speaking firmly: Shane will go back in, run the same play, and throw to Franklin. He tells Shane he is the only one who can do this, that he must either live his destiny or give it up for good.",Character Understanding,broad_coverage_event_chain
36,10、INT. O'NEIL'S BEDROOM - CLOSE ON O'NEIL - NIGHT,What conditions does McGinty state for returning as coach?,"McGinty states that he will return as coach only if he can choose the players himself, run the team without interference, and O'Neil stops telling Notre Dame stories.","McGinty sets the terms: he chooses the players, runs the team without interference, and O'Neil stops telling Notre Dame stories.",Character Understanding,broad_coverage_scene
37,43、INT. LOCKER ROOM - DAY (HALF-TIME) | 47、EXT. FIELD - LATE AFTERNOON,Why does McGinty use smelling salts on Shane?,McGinty uses smelling salts on Shane to revive him and push him to return to the game with confidence and determination.,"McGinty snaps open smelling salts and shoves them under Shane's nose. Shane jolts awake. McGinty stares into his eyes, speaking firmly: Shane will go back in, run the same play, and throw to Franklin. He tells Shane he is the only one who can do this, that he must either live his destiny or give it up for good.",Causal-Motivational Reasoning,broad_coverage_event_chain
38,10、INT. O'NEIL'S BEDROOM - CLOSE ON O'NEIL - NIGHT,Why does McGinty agree to return to coaching despite initially being reluctant?,"McGinty agrees to return to coaching because O'Neil accepts his conditions, which include full control over player selection, no interference in coaching decisions, and stopping the Notre Dame stories.","McGinty agrees to come back, but only if he can choose the players himself, with no interference, and if O'Neil stops telling Notre Dame stories. O'Neil smiles and accepts the deal.",Causal-Motivational Reasoning,broad_coverage_scene
39,10、INT. O'NEIL'S BEDROOM - CLOSE ON O'NEIL - NIGHT,Why does McGinty initially refuse O'Neil's request to return as head coach?,"McGinty initially refuses because he is enjoying the comforts of his retired life, such as golfing with the President, spending time with his family, and having a young wife.","McGinty resists, listing the comforts of his retired life—golfing with the President, walking his grandchildren to school, a young wife.",Causal-Motivational Reasoning,broad_coverage_scene
40,10、INT. O'NEIL'S BEDROOM - CLOSE ON O'NEIL - NIGHT,Why does McGinty agree to return to coaching despite initially resisting?,"McGinty agrees to return to coaching because O'Neil accepts his conditions, which include full control over player selection, no interference in coaching decisions, and stopping the Notre Dame stories.","As O'Neil presses him, McGinty falls silent, pours another glass of Scotch, and then looks at O'Neil. He agrees to come back, but only if he can choose the players himself, with no interference, and if O'Neil stops telling Notre Dame stories. O'Neil smiles and accepts the deal.",Causal-Motivational Reasoning,broad_coverage_scene
41,39、EXT. FIELD - DAY | 6、EXT. SIDELINES - DAY,What does O'Neil state about watching the game as the scene becomes chaotic?,O'Neil states that he is overwhelmed and wants the game turned off.,"O'Neil closes his eyes, overwhelmed, and tells Augustine to turn the game off.",Character Understanding,broad_coverage_event_chain
42,31、INT. McGINTY'S HOUSE - DAY | 39、EXT. FIELD - DAY | 40、EXT. GAME - ANGLE ON SCOREBOARD - SECOND QUARTER | 47、EXT. FIELD - LATE AFTERNOON,What does McGinty state that Shane must do after reviving him on the bench?,"McGinty states that Shane must go back into the game, run the same play, and throw to Franklin, emphasizing that he is the only one who can do this and must either live his destiny or give it up for good.","McGinty stares into his eyes, speaking firmly: Shane will go back in, run the same play, and throw to Franklin. He tells Shane he is the only one who can do this, that he must either live his destiny or give it up for good.",Character Understanding,broad_coverage_event_chain
43,29、INT. LOCKER ROOM BATHROOM - DAY | 34、INT. LOCKER ROOM - DAY | 47、EXT. FIELD - LATE AFTERNOON,Why did Shane need to nod his head during the snap?,"Shane needed to nod his head during the snap so that Brian Murray, who is deaf, could see the signal.","Evans reminds him to nod his head on the snap so Brian Murray, the deaf player, can see the signal.",Causal-Motivational Reasoning,broad_coverage_event_chain
44,9、INT. REDSKINS LOCKER ROOM - DAY | 21、INT. BUS - MORNING,Why does Wilson Jones support the players' strike despite being well-paid?,"Wilson Jones supports the strike because he has suffered serious injuries that left him unable to dress himself, and management refused his request for assistance, such as providing a valet.","Jones says there are days when he is so injured he cannot dress himself, and he asked management for help, like a valet, but they refused.",Causal-Motivational Reasoning,broad_coverage_event_chain
45,10、INT. O'NEIL'S BEDROOM - CLOSE ON O'NEIL - NIGHT,What does McGinty state he will do if O'Neil continues telling Notre Dame stories?,McGinty states that he will pull the plug on O'Neil personally if O'Neil starts telling Notre Dame stories.,"McGinty warns that if O'Neil starts with the Notre Dame stories, he will pull the plug on him personally.",Character Understanding,broad_coverage_scene
46,12、INT. METHAMPHETAMINE LAB - DAY,Why does Bateman look puzzled after checking his beeper?,"Bateman looks puzzled after checking his beeper because he receives a signal with an unfamiliar area code, 703, and does not know its location.","Bateman pulls his beeper from his pocket, frowns at the display, and asks, 'What area code is 703?'",Causal-Motivational Reasoning,broad_coverage_scene
47,47、EXT. FIELD - LATE AFTERNOON | 48、INT. WASHINGTON HILTON - BAR - NIGHT | 49、INT. HALLWAY - NIGHT,What does Shane state when the woman in red offers to take him to his room?,He states that he would like her to take him to his room.,"The woman leans in, asking if he is alright, and offers to take him to his room. He looks at her, then nods. 'I would like,' he says.",Character Understanding,broad_coverage_event_chain
48,31、INT. McGINTY'S HOUSE - DAY | 47、EXT. FIELD - LATE AFTERNOON,What does Shane state about being called names?,Shane states that it is okay and that he has been called worse.,"Shane interrupts, telling her it's okay and that he's been called worse.",Character Understanding,broad_coverage_event_chain
49,10、INT. O'NEIL'S BEDROOM - CLOSE ON O'NEIL - NIGHT,What does McGinty say about his retirement that makes him hesitant to accept O'Neil's coaching offer right away?,McGinty lists reasons for enjoying retirement and resisting coaching offer,"McGinty tells O'Neil about his life in retirement—golfing once a week with the President, walking his grandkids to school, and having a young wife who still welcomes him; He says.",Narrative Progression,supplementary_cross_scene
50,12、INT. METHAMPHETAMINE LAB - DAY,What is Bateman doing when the police burst into the meth lab?,Daniel Bateman approaches cowering biker,"After knocking down several bikers, Daniel Bateman spots one man shrinking back in a corner, visibly afraid; Bateman takes two steps toward him, closing in.",Narrative Progression,supplementary_cross_scene
51,11、INT. REDSKINS' HEAD COACH'S OFFICE - DAY|24、INT. EQUIPMENT ROOM - DAY|25、EXT. FIELD - DAY,"Which character in The Replacements demonstrates mutual respect with Reese Evans, adversarial tension with Shane, and a trusted association with Mickey Lee?",Mcginty,"Mcginty is in a shares mutual respect with relationship with Reese Evans, is in a adversarial stance relationship with Shane, and is in a trusted associates relationship with Mickey Lee.",Role-Relation Continuity,supplementary_cross_scene
52,39、EXT. FIELD - DAY|40、EXT. GAME - ANGLE ON SCOREBOARD - SECOND QUARTER,What does Shane do to reposition the team for the next play?,Shane repositions the huddle to the left before the next play,"Following the physical argument in the huddle, Shane shifts the huddle to the left, which leads to a successful play where Lamont gains eighteen yards, putting the team in field.",Narrative Progression,supplementary_cross_scene
53,25、EXT. FIELD - DAY|39、EXT. FIELD - DAY|42、EXT. BIG O - ON SHANE - DAY,"Which character is shown trusting Clifford Franklin and Pacifico as teammates, but has growing tension with Jamal?",Shane,"Shane is in a trusted teammates relationship with Clifford Franklin, is in a growing tension relationship with Jamal, and is in a trusted teammates relationship with Pacifico.",Role-Relation Continuity,supplementary_cross_scene
54,25、EXT. FIELD - DAY|43、INT. LOCKER ROOM - DAY (HALF-TIME),How would you describe the evolution of Shane and McGinty's relationship from how it began?,from mentor and protégé to mutual respect,"Earlier, the relationship between Shane and Mcginty is marked by mentor and protégé; later, it shifts to mutual respect.",Role-Relation Continuity,supplementary_cross_scene
55,28、EXT. BIG O PARKING LOT - MORNING|45、EXT. FIELD - DAY,How should the dynamic between Shane and Andre be characterized during the game compared to when Andre first helped him?,from protector and ally to cooperative teammates,"Earlier, the relationship between Shane and Andre is marked by protector and ally; later, it shifts to cooperative teammates.",Role-Relation Continuity,supplementary_cross_scene
56,49、INT. HALLWAY - NIGHT,What interrupts Shane and the Woman in Red just as they reach the door?,Annabelle opens the door,"In the hallway scene, Annabelle appears and opens the door, preventing Shane from entering with the Woman in Red and leading to her confrontation.",Narrative Progression,supplementary_cross_scene
