id,related_scenes,question,answer,related_context,question_type,question_source
14,3、INT. POTTING ROOM - AFTERNOON,How does the television create color in the Potting Room?,A wheel with colored gels spins on the screen.,"Attached to the front of the screen is a wheel containing colored gels. The wheels spins, creates an early form of color TV.",Scene Grounding,broad_coverage_scene
15,19、INT. MAIN HOUSE - FRONT HALLWAY - MORNING,Why does Louise block the stretcher bearers?,She wants to exit the building first.,Louise steps in front of them. LOUISE (CONT'D) (to stretcher bearers) Wait up! I'm goin' out that door first.,Causal-Motivational Reasoning,broad_coverage_scene
16,61、INT. RAND MANSION - HALLWAY - MORNING,What does Chance request upon being approached?,He wants to see Ben.,"CHANCE: Yes, I would like to see Ben.",Character Understanding,broad_coverage_scene
17,62、INT. RAND'S HOSPITAL ROOM - MORNING,What does Rand say about his appearance before the President?,He used make-up to avoid seeming like he was dying.,RAND: 'It's all make-up... I didn't want the President to think I was going to die during our talk.',Character Understanding,broad_coverage_scene
18,18、EXT. GARDEN - MORNING,"In [18、EXT. GARDEN - MORNING], What is Chance's behavioral state while Louise is speaking to him?","Resumes working and continues working, focused on tasks.",He resumes working and keeps working while Louise speaks.,Character Understanding,broad_coverage_scene
19,27、INT. GARAGE - AFTERNOON,"In [27、INT. GARAGE - AFTERNOON], What is Chance's emotional state when asked about driving the car?",He blushes slightly.,"Chance is silent for a moment, he blushes slightly.",Character Understanding,broad_coverage_scene
20,55、INT. RAND'S HOSPITAL ROOM - NIGHT,What does Chance say about the hospital?,He says he's never seen anything like it on television.,I understand. I've never seen anything like this on television.,Character Understanding,broad_coverage_scene
21,47、EXT. RAND MANSION - NIGHT | 42、EXT. BUSINESS DISTRICT - EVENING,Why does Wilson approach Eve after she exits the limousine?,Wilson approaches Eve to greet her and inform her that he will take Chance to the third-floor guest suite where Dr. Allenby is waiting.,"Wilson approaches Eve as she steps out of the limo and says, 'Good evening, Mrs. Rand.' Wilson adds that he will take Chance to the third floor guest suite, where Dr. Allenby is waiting.",Causal-Motivational Reasoning,broad_coverage_event_chain
22,7、INT. MAIN HOUSE - DINING ROOM - NIGHT | 14、INT. DINING ROOM - MORNING | 19、INT. MAIN HOUSE - FRONT HALLWAY - MORNING,What does Chance say about death when Louise tells him the Old Man has died?,Chance states that death happens to old people.,Chance acknowledges that death happens to old people.,Character Understanding,broad_coverage_event_chain
23,7、INT. MAIN HOUSE - DINING ROOM - NIGHT | 19、INT. MAIN HOUSE - FRONT HALLWAY - MORNING,What does Louise state about the Old Man's physical condition after seeing his body on the stretcher?,"Louise states that the Old Man had wasted away to almost nothing, even though he used to be a big man.","She says quietly, 'He used to be a big man... 'Spose he wasted away to about nothin'...'",Character Understanding,broad_coverage_event_chain
24,7、INT. MAIN HOUSE - DINING ROOM - NIGHT | 19、INT. MAIN HOUSE - FRONT HALLWAY - MORNING | 18、EXT. GARDEN - MORNING,What does Louise state about the Old Man's physical condition when she sees his body being carried out?,Louise states that the Old Man used to be a big man but has wasted away to almost nothing.,'He used to be a big man... 'Spose he wasted away to about nothin'...' she says quietly.,Character Understanding,broad_coverage_event_chain
25,14、INT. DINING ROOM - MORNING | 22、INT. DINING ROOM - DAY | 17、INT. MAIN HOUSE - OLD MAN'S ROOM - MORNING | 22、INT. DINING ROOM - DAY,What does Chance do after observing the President's handshake on television?,Chance unconsciously mimics the President's two-handed handshake by gripping one hand with the other.,"Chance looks on quietly, then slowly brings one hand up and grasps it with the other, holding the position without comment or awareness.",Character Understanding,broad_coverage_event_chain
26,"35、EXT. GHETTO STREET - WASHINGTON, D.C. - AFTERNOON",What does Chance state about why he came to the group?,Chance states that he came because Thomas Franklin told him the Old Man had died and instructed him to leave the Old Man's house.,Chance replies that Thomas Franklin told him to leave the Old Man's house because the Old Man has died.,Character Understanding,broad_coverage_scene
27,8、INT. CHANCE'S ROOM - DAWN | 9、INT. POTTING ROOM - DAWN | 4、INT. CHANCE'S ROOM - AFTERNOON,What does Chance state about the television after he changes the channel?,Chance does not make any verbal statement about the television after changing the channel.,"The passage describes Chance's actions, such as changing the channel and performing routine tasks, but does not include any spoken words or verbal expressions from him regarding the television.",Character Understanding,broad_coverage_event_chain
28,49、INT. ELEVATOR - NIGHT | 47、EXT. RAND MANSION - NIGHT | 4、INT. CHANCE'S ROOM - AFTERNOON,What does Chance state about his experience with elevators?,Chance states that he has never been in an elevator before.,"Chance says, 'I've never been in one of these,' referring to the elevator.",Character Understanding,broad_coverage_event_chain
29,14、INT. DINING ROOM - MORNING | 18、EXT. GARDEN - MORNING,What does Chance state he is going to do after Louise asks about his plans?,Chance states that he is going to work in the garden.,"When Louise asks what he plans to do now, Chance says he is going to work in the garden.",Character Understanding,broad_coverage_event_chain
30,22、INT. DINING ROOM - DAY | 14、INT. DINING ROOM - MORNING | 18、EXT. GARDEN - MORNING,Why does Chance change the channel on the television?,Chance changes the channel after Louise leaves the dining room and heads to the kitchen.,"Louise turns and walks out of the dining room, heading to the kitchen. Chance nods slightly, then reaches for the TV remote and changes the channel.",Causal-Motivational Reasoning,broad_coverage_event_chain
31,49、INT. ELEVATOR - NIGHT,When does the elevator stop moving?,The elevator stops moving when it reaches the third floor.,The elevator comes to a stop on the third floor.,Temporal Reasoning,broad_coverage_scene
32,18、EXT. GARDEN - MORNING | 14、INT. DINING ROOM - MORNING | 18、EXT. GARDEN - MORNING,Why does Louise suggest that Chance find an older woman rather than a young one?,"Louise suggests that Chance find an older woman because she believes he would not be of use to a young one, implying he lacks the maturity or capability to support a younger person.","Louise said he would need someone around, suggesting he find an older woman because, as she put it, he wouldn’t be of use to a young one, adding that he would always be a little boy.",Causal-Motivational Reasoning,broad_coverage_event_chain
33,27、INT. GARAGE - AFTERNOON | 28、INT. CHANCE'S ROOM - AFTERNOON | 33、EXT. FRONT OF TOWNHOUSE - AFTERNOON,What does Chance state about his ability to sign the document presented by Franklin?,Chance states that he cannot sign the document because he does not know how.,Chance does not take the paper and says he cannot sign because he does not know how.,Character Understanding,broad_coverage_event_chain
34,14、INT. DINING ROOM - MORNING | 19、INT. MAIN HOUSE - FRONT HALLWAY - MORNING | 18、EXT. GARDEN - MORNING,Why does Louise leave the house after the Old Man's body is carried out?,"Louise leaves the house because she decides to depart after witnessing the stretcher bearers carry out the Old Man's body, asserting she would go out the door first before them, indicating her final break from the situation and Chance.","She steps toward the stretcher bearers and says, 'Wait up! I'm goin' out that door first,' then opens the front door and walks out after giving the covered body one last look.",Causal-Motivational Reasoning,broad_coverage_event_chain
35,28、INT. CHANCE'S ROOM - AFTERNOON | 29、INT. TOWNHOUSE - ATTIC - AFTERNOON | 15、INT. MAIN HOUSE - SERVANT'S STAIRWAY - MORNING,How does Chance prepare and what items does he select before ascending the stairs?,"Chance removes his boots and puts on slippers, takes a fine leather suitcase from among several in the attic, and selects a handmade suit from a long rack of clothing before beginning to climb the stairs.","Chance sits on the bed and removes his boots, then puts on a pair of slippers. He walks to the closet and opens the door, revealing rows of men's clothing. Chance entered the attic, which was filled with the Old Man's belongings. Nearby, several suitcases sat together. Chance picked one—a fine leather suitcase—from among them. He then walked to a long rack lined with clothing and took down a handmade suit. Chance enters an enclosed stairway and begins to climb, moving steadily upward step by step.",Scene Grounding,broad_coverage_event_chain
36,118、INT. RAND MANSION - THIRD FLOOR HALLWAY - NIGHT|121、INT. CHANCE'S ROOM - MORNING,How should the relationship between Chance and Eve Rand be characterized by the next morning when Eve confesses her feelings?,from shares emotional intimacy with to mutual affection,"Earlier, the relationship between Chance and Eve Rand is marked by shares emotional intimacy with; later, it shifts to mutual affection.",Role-Relation Continuity,supplementary_cross_scene
37,121、INT. CHANCE'S ROOM - MORNING|143、EXT. RAND MANSION - DAY,How would you describe the change in Chance and Eve Rand's relationship from when Eve expresses her affection to when they grieve together at the funeral?,from mutual affection to grieving together,"Earlier, the relationship between Chance and Eve Rand is marked by mutual affection; later, it shifts to grieving together.",Role-Relation Continuity,supplementary_cross_scene
38,14、INT. DINING ROOM - MORNING,What interrupts Louise's angry confrontation with Chance and leads her to apologize?,Louise softens toward Chance and apologizes for her outburst,"Louise sits down next to Chance, her voice quieter, and tells him she doesn't know what she expected, apologizing for yelling and saying she's sorry.",Narrative Progression,supplementary_cross_scene
39,28、INT. CHANCE'S ROOM - AFTERNOON,"What causes Franklin to shift from questioning Chance to pursuing legal formalities, leading to him and Hayes leaving the house?",Franklin decides to proceed with legal formalities,"Franklin presents legal documents to Chance during the questioning, and after Chance refuses to sign, Franklin gives his business card and they depart.",Narrative Progression,supplementary_cross_scene
40,24、INT. DINING ROOM - DAY|28、INT. CHANCE'S ROOM - AFTERNOON,What does Franklin ask Chance about his link to the deceased that causes the lawyers to wrap up their visit?,Franklin questions Chance about his connection to the deceased,"In episode unit 2, Franklin questions Chance about his connection to the deceased during their conversation in Chance's room, which precedes their decision to leave.",Narrative Progression,supplementary_cross_scene
41,24、INT. DINING ROOM - DAY|28、INT. CHANCE'S ROOM - AFTERNOON,What does Franklin ask Chance about his relationship with the deceased that sets the legal conflict in motion?,Franklin questions Chance about his connection to the deceased,"In Episode unit 2, Franklin questions Chance about his connection to the deceased during their conversation in Chance's room, which directly leads to the legal action in Episode.",Narrative Progression,supplementary_cross_scene
42,47、EXT. RAND MANSION - NIGHT|51、INT. BENJAMIN RAND'S HOSPITAL ROOM - NIGHT|53、EXT. MANSION - PATIO - NIGHT,"Which character is defined by her marriage to Benjamin Rand, her trusted rapport with Wilson, and her close bond with Dr. Allenby?",Eve Rand,"Eve Rand is in a trusted interaction relationship with Wilson, is in a spouse relationship with Benjamin Rand, and is in a trusted companions relationship with Dr. Robert Allenby.",Role-Relation Continuity,supplementary_cross_scene
43,14、INT. DINING ROOM - MORNING|55、INT. RAND'S HOSPITAL ROOM - NIGHT|59、INT. MANSION - THIRD FLOOR HALLWAY - NIGHT,"Which character is the son of the deceased wealthy man, shares a mutual understanding when addressed as Chauncey Gardiner, and has a fondness for Ben?",Chance,"Chance is in a son relationship with Deceased Wealthy Man, is in a shared understanding relationship with Chauncey Gardiner, and is in a mutual fondness relationship with Ben.",Role-Relation Continuity,supplementary_cross_scene
