movie_id,language,focal_character_count,timeline_node_count,cross_scene_arc_count,timeline_relative_path,arc_relative_path
en1dc4afb3a651427dab550bf6ca68cfa5,English,3,28,11,data/per_movie/English/en1dc4afb3a651427dab550bf6ca68cfa5/gold_character_timelines_v1.json,data/per_movie/English/en1dc4afb3a651427dab550bf6ca68cfa5/gold_cross_scene_arcs_v1.json
en1f02f19d1d4247d4a6de3a3b3af622ff,English,3,29,9,data/per_movie/English/en1f02f19d1d4247d4a6de3a3b3af622ff/gold_character_timelines_v1.json,data/per_movie/English/en1f02f19d1d4247d4a6de3a3b3af622ff/gold_cross_scene_arcs_v1.json
en225b7ddc26e6473e8954b591202296c3,English,3,26,10,data/per_movie/English/en225b7ddc26e6473e8954b591202296c3/gold_character_timelines_v1.json,data/per_movie/English/en225b7ddc26e6473e8954b591202296c3/gold_cross_scene_arcs_v1.json
en22e0d0a29c244555bf8d2335d772acce,English,3,31,10,data/per_movie/English/en22e0d0a29c244555bf8d2335d772acce/gold_character_timelines_v1.json,data/per_movie/English/en22e0d0a29c244555bf8d2335d772acce/gold_cross_scene_arcs_v1.json
en2caff09adab7473b9f8e3898a6709a6e,English,3,35,10,data/per_movie/English/en2caff09adab7473b9f8e3898a6709a6e/gold_character_timelines_v1.json,data/per_movie/English/en2caff09adab7473b9f8e3898a6709a6e/gold_cross_scene_arcs_v1.json
en2e733a32750748b082f2ffb7f4608329,English,3,33,9,data/per_movie/English/en2e733a32750748b082f2ffb7f4608329/gold_character_timelines_v1.json,data/per_movie/English/en2e733a32750748b082f2ffb7f4608329/gold_cross_scene_arcs_v1.json
en2fd3fabcf59d456fb8c57465762400bf,English,3,29,11,data/per_movie/English/en2fd3fabcf59d456fb8c57465762400bf/gold_character_timelines_v1.json,data/per_movie/English/en2fd3fabcf59d456fb8c57465762400bf/gold_cross_scene_arcs_v1.json
en2ffef63afdf84c25bc56d9fb7830fa7d,English,3,32,8,data/per_movie/English/en2ffef63afdf84c25bc56d9fb7830fa7d/gold_character_timelines_v1.json,data/per_movie/English/en2ffef63afdf84c25bc56d9fb7830fa7d/gold_cross_scene_arcs_v1.json
en33cfabe4a5c548168d991fca802b0bfc,English,3,35,9,data/per_movie/English/en33cfabe4a5c548168d991fca802b0bfc/gold_character_timelines_v1.json,data/per_movie/English/en33cfabe4a5c548168d991fca802b0bfc/gold_cross_scene_arcs_v1.json
en364c0c135fff4c0e94b5e4d999df3e9d,English,3,32,11,data/per_movie/English/en364c0c135fff4c0e94b5e4d999df3e9d/gold_character_timelines_v1.json,data/per_movie/English/en364c0c135fff4c0e94b5e4d999df3e9d/gold_cross_scene_arcs_v1.json
en376eec0289f24ce09cb42185aa13f081,English,2,15,6,data/per_movie/English/en376eec0289f24ce09cb42185aa13f081/gold_character_timelines_v1.json,data/per_movie/English/en376eec0289f24ce09cb42185aa13f081/gold_cross_scene_arcs_v1.json
en39094405d8fc4cefad9d3d7ffe4efa27,English,3,34,8,data/per_movie/English/en39094405d8fc4cefad9d3d7ffe4efa27/gold_character_timelines_v1.json,data/per_movie/English/en39094405d8fc4cefad9d3d7ffe4efa27/gold_cross_scene_arcs_v1.json
en3a6c2a65685a46cfa0671f82c9d464af,English,3,36,13,data/per_movie/English/en3a6c2a65685a46cfa0671f82c9d464af/gold_character_timelines_v1.json,data/per_movie/English/en3a6c2a65685a46cfa0671f82c9d464af/gold_cross_scene_arcs_v1.json
en3b12e7f9ab57442f9fe95fdf52d2510e,English,3,31,9,data/per_movie/English/en3b12e7f9ab57442f9fe95fdf52d2510e/gold_character_timelines_v1.json,data/per_movie/English/en3b12e7f9ab57442f9fe95fdf52d2510e/gold_cross_scene_arcs_v1.json
en3b3b6db8683b4f509171b4b097837dbd,English,3,32,11,data/per_movie/English/en3b3b6db8683b4f509171b4b097837dbd/gold_character_timelines_v1.json,data/per_movie/English/en3b3b6db8683b4f509171b4b097837dbd/gold_cross_scene_arcs_v1.json
en3b8f79aa09a045818b4e725fdf6b57e7,English,2,20,7,data/per_movie/English/en3b8f79aa09a045818b4e725fdf6b57e7/gold_character_timelines_v1.json,data/per_movie/English/en3b8f79aa09a045818b4e725fdf6b57e7/gold_cross_scene_arcs_v1.json
en3b9c9c29e0ba4991bf8328f835c78f30,English,3,32,11,data/per_movie/English/en3b9c9c29e0ba4991bf8328f835c78f30/gold_character_timelines_v1.json,data/per_movie/English/en3b9c9c29e0ba4991bf8328f835c78f30/gold_cross_scene_arcs_v1.json
en3e7419c83ec1480dafc7df4bb94e99d8,English,3,35,9,data/per_movie/English/en3e7419c83ec1480dafc7df4bb94e99d8/gold_character_timelines_v1.json,data/per_movie/English/en3e7419c83ec1480dafc7df4bb94e99d8/gold_cross_scene_arcs_v1.json
en3f51f126ac684887812de45cc7f2c35e,English,1,12,5,data/per_movie/English/en3f51f126ac684887812de45cc7f2c35e/gold_character_timelines_v1.json,data/per_movie/English/en3f51f126ac684887812de45cc7f2c35e/gold_cross_scene_arcs_v1.json
en44fd740e98fd44c186677b99ad139c57,English,3,29,11,data/per_movie/English/en44fd740e98fd44c186677b99ad139c57/gold_character_timelines_v1.json,data/per_movie/English/en44fd740e98fd44c186677b99ad139c57/gold_cross_scene_arcs_v1.json
en46a42bd9735146aab01614153446ad01,English,3,36,10,data/per_movie/English/en46a42bd9735146aab01614153446ad01/gold_character_timelines_v1.json,data/per_movie/English/en46a42bd9735146aab01614153446ad01/gold_cross_scene_arcs_v1.json
en48bdeeb754c548448c2bfaf7976c365b,English,3,31,11,data/per_movie/English/en48bdeeb754c548448c2bfaf7976c365b/gold_character_timelines_v1.json,data/per_movie/English/en48bdeeb754c548448c2bfaf7976c365b/gold_cross_scene_arcs_v1.json
en48f2465cf27f49a98a375692d4c2209b,English,3,34,7,data/per_movie/English/en48f2465cf27f49a98a375692d4c2209b/gold_character_timelines_v1.json,data/per_movie/English/en48f2465cf27f49a98a375692d4c2209b/gold_cross_scene_arcs_v1.json
en4cd62c1f5ee54b0aac31ae761c4dbfca,English,3,33,11,data/per_movie/English/en4cd62c1f5ee54b0aac31ae761c4dbfca/gold_character_timelines_v1.json,data/per_movie/English/en4cd62c1f5ee54b0aac31ae761c4dbfca/gold_cross_scene_arcs_v1.json
en4cf0d5a6f8544ee49db748b16e9624b6,English,3,36,12,data/per_movie/English/en4cf0d5a6f8544ee49db748b16e9624b6/gold_character_timelines_v1.json,data/per_movie/English/en4cf0d5a6f8544ee49db748b16e9624b6/gold_cross_scene_arcs_v1.json
en4f8be69c09c643ddb50e5d728ced107f,English,3,36,13,data/per_movie/English/en4f8be69c09c643ddb50e5d728ced107f/gold_character_timelines_v1.json,data/per_movie/English/en4f8be69c09c643ddb50e5d728ced107f/gold_cross_scene_arcs_v1.json
en5901146f32f0412995212ecc9f7e694c,English,3,30,13,data/per_movie/English/en5901146f32f0412995212ecc9f7e694c/gold_character_timelines_v1.json,data/per_movie/English/en5901146f32f0412995212ecc9f7e694c/gold_cross_scene_arcs_v1.json
en5a2464c851a44d5e814a92455b48783b,English,3,35,11,data/per_movie/English/en5a2464c851a44d5e814a92455b48783b/gold_character_timelines_v1.json,data/per_movie/English/en5a2464c851a44d5e814a92455b48783b/gold_cross_scene_arcs_v1.json
en5e7d0ab69a264987ad93be4a13bf5670,English,3,32,12,data/per_movie/English/en5e7d0ab69a264987ad93be4a13bf5670/gold_character_timelines_v1.json,data/per_movie/English/en5e7d0ab69a264987ad93be4a13bf5670/gold_cross_scene_arcs_v1.json
en6277019821914a26ba881ef5d254969f,English,3,30,10,data/per_movie/English/en6277019821914a26ba881ef5d254969f/gold_character_timelines_v1.json,data/per_movie/English/en6277019821914a26ba881ef5d254969f/gold_cross_scene_arcs_v1.json
en6301ea1cf28f477a974e7cb126420d26,English,3,30,8,data/per_movie/English/en6301ea1cf28f477a974e7cb126420d26/gold_character_timelines_v1.json,data/per_movie/English/en6301ea1cf28f477a974e7cb126420d26/gold_cross_scene_arcs_v1.json
en6825fec0dcce429abef2b213d6372bbd,English,3,34,12,data/per_movie/English/en6825fec0dcce429abef2b213d6372bbd/gold_character_timelines_v1.json,data/per_movie/English/en6825fec0dcce429abef2b213d6372bbd/gold_cross_scene_arcs_v1.json
en69e9830df5f14930bfd6ec2e9744f84e,English,3,33,11,data/per_movie/English/en69e9830df5f14930bfd6ec2e9744f84e/gold_character_timelines_v1.json,data/per_movie/English/en69e9830df5f14930bfd6ec2e9744f84e/gold_cross_scene_arcs_v1.json
en6e3adb1c4f5546c4a6178969b0cb2f43,English,3,27,9,data/per_movie/English/en6e3adb1c4f5546c4a6178969b0cb2f43/gold_character_timelines_v1.json,data/per_movie/English/en6e3adb1c4f5546c4a6178969b0cb2f43/gold_cross_scene_arcs_v1.json
en70e2a8ef10674e9584d2d665ba2a59db,English,2,22,5,data/per_movie/English/en70e2a8ef10674e9584d2d665ba2a59db/gold_character_timelines_v1.json,data/per_movie/English/en70e2a8ef10674e9584d2d665ba2a59db/gold_cross_scene_arcs_v1.json
en71e5903530494ef792e87e8915c657c4,English,3,36,10,data/per_movie/English/en71e5903530494ef792e87e8915c657c4/gold_character_timelines_v1.json,data/per_movie/English/en71e5903530494ef792e87e8915c657c4/gold_cross_scene_arcs_v1.json
en75adf53b6d3142588f900aaa97847091,English,3,30,8,data/per_movie/English/en75adf53b6d3142588f900aaa97847091/gold_character_timelines_v1.json,data/per_movie/English/en75adf53b6d3142588f900aaa97847091/gold_cross_scene_arcs_v1.json
en78cb624224a74387bfcbba89fcafa933,English,3,36,14,data/per_movie/English/en78cb624224a74387bfcbba89fcafa933/gold_character_timelines_v1.json,data/per_movie/English/en78cb624224a74387bfcbba89fcafa933/gold_cross_scene_arcs_v1.json
en7ca13db75ab44faa9d147be6e5540ab7,English,3,32,8,data/per_movie/English/en7ca13db75ab44faa9d147be6e5540ab7/gold_character_timelines_v1.json,data/per_movie/English/en7ca13db75ab44faa9d147be6e5540ab7/gold_cross_scene_arcs_v1.json
en7e3d15d9e49b4e4aa78528e4f2d0e9c3,English,2,23,6,data/per_movie/English/en7e3d15d9e49b4e4aa78528e4f2d0e9c3/gold_character_timelines_v1.json,data/per_movie/English/en7e3d15d9e49b4e4aa78528e4f2d0e9c3/gold_cross_scene_arcs_v1.json
en7f8648f5449c4f9da46febfd68cdbd58,English,3,30,7,data/per_movie/English/en7f8648f5449c4f9da46febfd68cdbd58/gold_character_timelines_v1.json,data/per_movie/English/en7f8648f5449c4f9da46febfd68cdbd58/gold_cross_scene_arcs_v1.json
en81542a899b344c4685a873aead53bff1,English,3,32,10,data/per_movie/English/en81542a899b344c4685a873aead53bff1/gold_character_timelines_v1.json,data/per_movie/English/en81542a899b344c4685a873aead53bff1/gold_cross_scene_arcs_v1.json
en84ff0693fcff4a248aac61e40934aab5,English,3,35,10,data/per_movie/English/en84ff0693fcff4a248aac61e40934aab5/gold_character_timelines_v1.json,data/per_movie/English/en84ff0693fcff4a248aac61e40934aab5/gold_cross_scene_arcs_v1.json
en8546b56484754b42b4bc1b26acaff242,English,3,32,10,data/per_movie/English/en8546b56484754b42b4bc1b26acaff242/gold_character_timelines_v1.json,data/per_movie/English/en8546b56484754b42b4bc1b26acaff242/gold_cross_scene_arcs_v1.json
en8549e3d0b5db47a98dea7624fcdf2a0c,English,3,31,10,data/per_movie/English/en8549e3d0b5db47a98dea7624fcdf2a0c/gold_character_timelines_v1.json,data/per_movie/English/en8549e3d0b5db47a98dea7624fcdf2a0c/gold_cross_scene_arcs_v1.json
en891ad2b0053b41d48ce33f75cc636305,English,3,34,10,data/per_movie/English/en891ad2b0053b41d48ce33f75cc636305/gold_character_timelines_v1.json,data/per_movie/English/en891ad2b0053b41d48ce33f75cc636305/gold_cross_scene_arcs_v1.json
en8dc9b5e23f324c86a3593ba801f672ac,English,3,29,10,data/per_movie/English/en8dc9b5e23f324c86a3593ba801f672ac/gold_character_timelines_v1.json,data/per_movie/English/en8dc9b5e23f324c86a3593ba801f672ac/gold_cross_scene_arcs_v1.json
en8e1f5d05ae954087a5822c031ecf9d3b,English,3,32,9,data/per_movie/English/en8e1f5d05ae954087a5822c031ecf9d3b/gold_character_timelines_v1.json,data/per_movie/English/en8e1f5d05ae954087a5822c031ecf9d3b/gold_cross_scene_arcs_v1.json
en907f369c73384a6a9b4d5cc8b683203a,English,3,35,8,data/per_movie/English/en907f369c73384a6a9b4d5cc8b683203a/gold_character_timelines_v1.json,data/per_movie/English/en907f369c73384a6a9b4d5cc8b683203a/gold_cross_scene_arcs_v1.json
en97608cba906d4e549dfa0a6a4964fb63,English,3,32,10,data/per_movie/English/en97608cba906d4e549dfa0a6a4964fb63/gold_character_timelines_v1.json,data/per_movie/English/en97608cba906d4e549dfa0a6a4964fb63/gold_cross_scene_arcs_v1.json
en97cd44f4ac92471e9137b4d2262a4dac,English,3,30,11,data/per_movie/English/en97cd44f4ac92471e9137b4d2262a4dac/gold_character_timelines_v1.json,data/per_movie/English/en97cd44f4ac92471e9137b4d2262a4dac/gold_cross_scene_arcs_v1.json
en98f7f7e775624d9a8b43bd900ef12a36,English,3,28,11,data/per_movie/English/en98f7f7e775624d9a8b43bd900ef12a36/gold_character_timelines_v1.json,data/per_movie/English/en98f7f7e775624d9a8b43bd900ef12a36/gold_cross_scene_arcs_v1.json
ena1acdede6d524bffaf3a93bf0087206c,English,3,36,13,data/per_movie/English/ena1acdede6d524bffaf3a93bf0087206c/gold_character_timelines_v1.json,data/per_movie/English/ena1acdede6d524bffaf3a93bf0087206c/gold_cross_scene_arcs_v1.json
ena8f6324d99f04af0961fa7d98f9af983,English,3,34,11,data/per_movie/English/ena8f6324d99f04af0961fa7d98f9af983/gold_character_timelines_v1.json,data/per_movie/English/ena8f6324d99f04af0961fa7d98f9af983/gold_cross_scene_arcs_v1.json
enadb2496983c5461982b98e1afd844b33,English,3,33,9,data/per_movie/English/enadb2496983c5461982b98e1afd844b33/gold_character_timelines_v1.json,data/per_movie/English/enadb2496983c5461982b98e1afd844b33/gold_cross_scene_arcs_v1.json
enae65d9ec6fc04e98899464a06a5ccf62,English,3,33,9,data/per_movie/English/enae65d9ec6fc04e98899464a06a5ccf62/gold_character_timelines_v1.json,data/per_movie/English/enae65d9ec6fc04e98899464a06a5ccf62/gold_cross_scene_arcs_v1.json
enb43327ef98f144afae56e30053028568,English,3,31,9,data/per_movie/English/enb43327ef98f144afae56e30053028568/gold_character_timelines_v1.json,data/per_movie/English/enb43327ef98f144afae56e30053028568/gold_cross_scene_arcs_v1.json
enb557c570b673482eb52293536d886051,English,3,36,13,data/per_movie/English/enb557c570b673482eb52293536d886051/gold_character_timelines_v1.json,data/per_movie/English/enb557c570b673482eb52293536d886051/gold_cross_scene_arcs_v1.json
enb844ecabcc7f4bc380cc87b5d3e24348,English,3,36,13,data/per_movie/English/enb844ecabcc7f4bc380cc87b5d3e24348/gold_character_timelines_v1.json,data/per_movie/English/enb844ecabcc7f4bc380cc87b5d3e24348/gold_cross_scene_arcs_v1.json
enba0f98e3fab842c387810d1e1085d5e0,English,3,36,13,data/per_movie/English/enba0f98e3fab842c387810d1e1085d5e0/gold_character_timelines_v1.json,data/per_movie/English/enba0f98e3fab842c387810d1e1085d5e0/gold_cross_scene_arcs_v1.json
enbb5dfbf639f341a8a5e95832409357b3,English,3,36,14,data/per_movie/English/enbb5dfbf639f341a8a5e95832409357b3/gold_character_timelines_v1.json,data/per_movie/English/enbb5dfbf639f341a8a5e95832409357b3/gold_cross_scene_arcs_v1.json
enbb70fec49be04d91b97f930985c5432f,English,3,36,12,data/per_movie/English/enbb70fec49be04d91b97f930985c5432f/gold_character_timelines_v1.json,data/per_movie/English/enbb70fec49be04d91b97f930985c5432f/gold_cross_scene_arcs_v1.json
enbbd7083882674c1fa0c668d4d7331e22,English,3,36,14,data/per_movie/English/enbbd7083882674c1fa0c668d4d7331e22/gold_character_timelines_v1.json,data/per_movie/English/enbbd7083882674c1fa0c668d4d7331e22/gold_cross_scene_arcs_v1.json
enc05e4f27bd8448ebaf9883c64aa4d599,English,3,33,13,data/per_movie/English/enc05e4f27bd8448ebaf9883c64aa4d599/gold_character_timelines_v1.json,data/per_movie/English/enc05e4f27bd8448ebaf9883c64aa4d599/gold_cross_scene_arcs_v1.json
enc06bd10943f9488ea14f5db2174b4779,English,3,36,14,data/per_movie/English/enc06bd10943f9488ea14f5db2174b4779/gold_character_timelines_v1.json,data/per_movie/English/enc06bd10943f9488ea14f5db2174b4779/gold_cross_scene_arcs_v1.json
enc2f5fbfaed0d40bdb7bea61090a8df6c,English,3,37,13,data/per_movie/English/enc2f5fbfaed0d40bdb7bea61090a8df6c/gold_character_timelines_v1.json,data/per_movie/English/enc2f5fbfaed0d40bdb7bea61090a8df6c/gold_cross_scene_arcs_v1.json
enc6e53029ab49475dbb82bf89a57e1a42,English,3,37,13,data/per_movie/English/enc6e53029ab49475dbb82bf89a57e1a42/gold_character_timelines_v1.json,data/per_movie/English/enc6e53029ab49475dbb82bf89a57e1a42/gold_cross_scene_arcs_v1.json
enc76f658069e44354af1c5f8ab366d9ff,English,3,35,13,data/per_movie/English/enc76f658069e44354af1c5f8ab366d9ff/gold_character_timelines_v1.json,data/per_movie/English/enc76f658069e44354af1c5f8ab366d9ff/gold_cross_scene_arcs_v1.json
enca11f6b8ddcc4844a5ee14e1c7b9762e,English,3,35,12,data/per_movie/English/enca11f6b8ddcc4844a5ee14e1c7b9762e/gold_character_timelines_v1.json,data/per_movie/English/enca11f6b8ddcc4844a5ee14e1c7b9762e/gold_cross_scene_arcs_v1.json
ence0f8f6cc6994a0b9b565d6910852f82,English,3,34,13,data/per_movie/English/ence0f8f6cc6994a0b9b565d6910852f82/gold_character_timelines_v1.json,data/per_movie/English/ence0f8f6cc6994a0b9b565d6910852f82/gold_cross_scene_arcs_v1.json
encfd3090ddb3146318f2edf3bf6807b30,English,3,36,13,data/per_movie/English/encfd3090ddb3146318f2edf3bf6807b30/gold_character_timelines_v1.json,data/per_movie/English/encfd3090ddb3146318f2edf3bf6807b30/gold_cross_scene_arcs_v1.json
end1e9449b581f407491eab2f5742a7478,English,3,34,12,data/per_movie/English/end1e9449b581f407491eab2f5742a7478/gold_character_timelines_v1.json,data/per_movie/English/end1e9449b581f407491eab2f5742a7478/gold_cross_scene_arcs_v1.json
end30e8354cc2549e29114e0b2f142ca37,English,3,36,14,data/per_movie/English/end30e8354cc2549e29114e0b2f142ca37/gold_character_timelines_v1.json,data/per_movie/English/end30e8354cc2549e29114e0b2f142ca37/gold_cross_scene_arcs_v1.json
end5a824f9c5a34d1b8b0181b434ae6674,English,3,36,14,data/per_movie/English/end5a824f9c5a34d1b8b0181b434ae6674/gold_character_timelines_v1.json,data/per_movie/English/end5a824f9c5a34d1b8b0181b434ae6674/gold_cross_scene_arcs_v1.json
enda758a230fce4106a0a250e267fdbab8,English,3,33,14,data/per_movie/English/enda758a230fce4106a0a250e267fdbab8/gold_character_timelines_v1.json,data/per_movie/English/enda758a230fce4106a0a250e267fdbab8/gold_cross_scene_arcs_v1.json
endd6934919fe24835b367651ac58b0d6d,English,3,35,12,data/per_movie/English/endd6934919fe24835b367651ac58b0d6d/gold_character_timelines_v1.json,data/per_movie/English/endd6934919fe24835b367651ac58b0d6d/gold_cross_scene_arcs_v1.json
endf4af255fff1417397ad8dc82d404df7,English,3,35,13,data/per_movie/English/endf4af255fff1417397ad8dc82d404df7/gold_character_timelines_v1.json,data/per_movie/English/endf4af255fff1417397ad8dc82d404df7/gold_cross_scene_arcs_v1.json
endffac0563af542049ec8e89fb53065ba,English,3,35,12,data/per_movie/English/endffac0563af542049ec8e89fb53065ba/gold_character_timelines_v1.json,data/per_movie/English/endffac0563af542049ec8e89fb53065ba/gold_cross_scene_arcs_v1.json
ene1433f380b2d4da7b5a3781c6512968f,English,3,38,15,data/per_movie/English/ene1433f380b2d4da7b5a3781c6512968f/gold_character_timelines_v1.json,data/per_movie/English/ene1433f380b2d4da7b5a3781c6512968f/gold_cross_scene_arcs_v1.json
ene1511ec4987a483f84d938257332734c,English,3,36,13,data/per_movie/English/ene1511ec4987a483f84d938257332734c/gold_character_timelines_v1.json,data/per_movie/English/ene1511ec4987a483f84d938257332734c/gold_cross_scene_arcs_v1.json
ene31a5765eef2481ba7f4a03de7180508,English,3,36,12,data/per_movie/English/ene31a5765eef2481ba7f4a03de7180508/gold_character_timelines_v1.json,data/per_movie/English/ene31a5765eef2481ba7f4a03de7180508/gold_cross_scene_arcs_v1.json
ene7ea5a09bac248ef93cb96fea57e1d53,English,3,31,11,data/per_movie/English/ene7ea5a09bac248ef93cb96fea57e1d53/gold_character_timelines_v1.json,data/per_movie/English/ene7ea5a09bac248ef93cb96fea57e1d53/gold_cross_scene_arcs_v1.json
ene827f5ab63c84c2eb5d32f6d149e9b5d,English,3,33,12,data/per_movie/English/ene827f5ab63c84c2eb5d32f6d149e9b5d/gold_character_timelines_v1.json,data/per_movie/English/ene827f5ab63c84c2eb5d32f6d149e9b5d/gold_cross_scene_arcs_v1.json
ene9057ea21d1c4171b3eb1b705a5763fb,English,3,36,13,data/per_movie/English/ene9057ea21d1c4171b3eb1b705a5763fb/gold_character_timelines_v1.json,data/per_movie/English/ene9057ea21d1c4171b3eb1b705a5763fb/gold_cross_scene_arcs_v1.json
enea12b0b06c5e46f799710f03435ecaa4,English,3,36,14,data/per_movie/English/enea12b0b06c5e46f799710f03435ecaa4/gold_character_timelines_v1.json,data/per_movie/English/enea12b0b06c5e46f799710f03435ecaa4/gold_cross_scene_arcs_v1.json
enea9d585da5e24885b289f0eb491f42ae,English,3,36,12,data/per_movie/English/enea9d585da5e24885b289f0eb491f42ae/gold_character_timelines_v1.json,data/per_movie/English/enea9d585da5e24885b289f0eb491f42ae/gold_cross_scene_arcs_v1.json
enec3061f1b9d346fa84285a8f3eb111ba,English,3,33,12,data/per_movie/English/enec3061f1b9d346fa84285a8f3eb111ba/gold_character_timelines_v1.json,data/per_movie/English/enec3061f1b9d346fa84285a8f3eb111ba/gold_cross_scene_arcs_v1.json
enf13d66c0d1a5499d9941d74fa4ed1d7a,English,2,24,9,data/per_movie/English/enf13d66c0d1a5499d9941d74fa4ed1d7a/gold_character_timelines_v1.json,data/per_movie/English/enf13d66c0d1a5499d9941d74fa4ed1d7a/gold_cross_scene_arcs_v1.json
enf18baec3a1b8400da447b89e0b39bb61,English,3,27,11,data/per_movie/English/enf18baec3a1b8400da447b89e0b39bb61/gold_character_timelines_v1.json,data/per_movie/English/enf18baec3a1b8400da447b89e0b39bb61/gold_cross_scene_arcs_v1.json
enf1d20cc82ed548c5b2aac849e53e68f6,English,2,24,9,data/per_movie/English/enf1d20cc82ed548c5b2aac849e53e68f6/gold_character_timelines_v1.json,data/per_movie/English/enf1d20cc82ed548c5b2aac849e53e68f6/gold_cross_scene_arcs_v1.json
enf30d36a744764b89b68ac58103b401f0,English,3,35,13,data/per_movie/English/enf30d36a744764b89b68ac58103b401f0/gold_character_timelines_v1.json,data/per_movie/English/enf30d36a744764b89b68ac58103b401f0/gold_cross_scene_arcs_v1.json
enf53d09c71da246cfb21c10366409a6b1,English,3,31,12,data/per_movie/English/enf53d09c71da246cfb21c10366409a6b1/gold_character_timelines_v1.json,data/per_movie/English/enf53d09c71da246cfb21c10366409a6b1/gold_cross_scene_arcs_v1.json
enf689530f4ca245d28318dd0fdb24c50d,English,3,36,13,data/per_movie/English/enf689530f4ca245d28318dd0fdb24c50d/gold_character_timelines_v1.json,data/per_movie/English/enf689530f4ca245d28318dd0fdb24c50d/gold_cross_scene_arcs_v1.json
enf70932f1126d4ce791057d9a8b377ada,English,3,29,13,data/per_movie/English/enf70932f1126d4ce791057d9a8b377ada/gold_character_timelines_v1.json,data/per_movie/English/enf70932f1126d4ce791057d9a8b377ada/gold_cross_scene_arcs_v1.json
enf7e99e169f8b4820b95496eadb014785,English,3,35,13,data/per_movie/English/enf7e99e169f8b4820b95496eadb014785/gold_character_timelines_v1.json,data/per_movie/English/enf7e99e169f8b4820b95496eadb014785/gold_cross_scene_arcs_v1.json
enf854f6d986194b25a467dae9b922f46e,English,3,35,13,data/per_movie/English/enf854f6d986194b25a467dae9b922f46e/gold_character_timelines_v1.json,data/per_movie/English/enf854f6d986194b25a467dae9b922f46e/gold_cross_scene_arcs_v1.json
enf903e9b905b54ea09072b039caccdbeb,English,3,31,13,data/per_movie/English/enf903e9b905b54ea09072b039caccdbeb/gold_character_timelines_v1.json,data/per_movie/English/enf903e9b905b54ea09072b039caccdbeb/gold_cross_scene_arcs_v1.json
enff3a622961b84aa091a2a5babfe2aa18,English,3,35,14,data/per_movie/English/enff3a622961b84aa091a2a5babfe2aa18/gold_character_timelines_v1.json,data/per_movie/English/enff3a622961b84aa091a2a5babfe2aa18/gold_cross_scene_arcs_v1.json
